iter	Passed	Remaining
0	1	138
1	2	128
2	3	126
3	4	113
4	5	111
5	7	110
6	8	111
7	9	112
8	10	110
9	12	109
10	13	107
11	14	105
12	15	104
13	16	102
14	17	99
15	18	98
16	19	97
17	21	96
18	22	94
19	23	93
20	24	92
21	25	92
22	27	90
23	28	89
24	29	88
25	30	86
26	31	86
27	33	85
28	34	84
29	35	83
30	36	81
31	38	80
32	39	79
33	40	78
34	41	77
35	43	76
36	44	75
37	45	74
38	46	72
39	47	71
40	48	70
41	49	68
42	50	67
43	51	65
44	52	64
45	53	63
46	55	62
47	56	61
48	57	60
49	58	58
50	59	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	68	47
59	69	46
60	71	45
61	72	44
62	73	43
63	74	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	82	35
70	83	34
71	84	32
72	85	31
73	87	30
74	88	29
75	89	28
76	90	27
77	92	25
78	93	24
79	94	23
80	95	22
81	96	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	104	14
88	105	13
89	106	11
90	107	10
91	108	9
92	110	8
93	111	7
94	112	5
95	113	4
96	114	3
97	115	2
98	117	1
99	118	0
